,image_id,question,question_id,answer
95,900198251,Can you see the moon?,900198251,no
96,12846,Is anyone playing in the sandbox?,128462,no
97,900128462,Is anyone playing in the sandbox?,900128462,yes
98,4062,Does it look like the guy is leaving?,40620,yes
99,900040620,Does it look like the guy is leaving?,900040620,no
100,12965,Is there room on the sofa for the boy?,129652,yes
101,900129652,Is there room on the sofa for the boy?,900129652,no
102,14582,Are the women on the bench laughing?,145822,yes
103,900145822,Are the women on the bench laughing?,900145822,no
104,10152,Do you see any butterflies?,101522,no
105,900101522,Do you see any butterflies?,900101522,yes
106,18956,Is the boy standing up?,189561,no
107,900189561,Is the boy standing up?,900189561,yes
108,5324,Is the man sticking his foot out to try to trip the little girl?,53240,no
109,900053240,Is the man sticking his foot out to try to trip the little girl?,900053240,yes
110,115,Does the woman live alone?,1150,yes
111,900001150,Does the woman live alone?,900001150,no
112,17008,Is the boy about to jump off the table?,170081,yes
113,900170081,Is the boy about to jump off the table?,900170081,no
114,6352,Are the pets on the carpet with the woman?,63520,yes
115,900063520,Are the pets on the carpet with the woman?,900063520,no
116,4576,Is the dog sleeping?,45760,yes
117,900045760,Is the dog sleeping?,900045760,no
118,3555,Is the person near the table trying to have some tea?,35552,yes
119,900035552,Is the person near the table trying to have some tea?,900035552,no
120,15076,Are these men dancing?,150760,no
121,900150760,Are these men dancing?,900150760,yes
122,19489,Does the man have a foot on the stool?,194890,yes
123,900194890,Does the man have a foot on the stool?,900194890,no
124,11592,Is the room almost empty?,115921,yes
125,900115921,Is the room almost empty?,900115921,no
126,5719,Are the children siblings?,57190,yes
127,12180,Is the kitten asleep?,121801,no
128,900121801,Is the kitten asleep?,900121801,yes
129,4316,Is the man balding?,43162,yes
130,900043162,Is the man balding?,900043162,no
131,11840,Are all the people having a dance party with ribs?,118400,yes
132,900118400,Are all the people having a dance party with ribs?,900118400,no
133,231,Are the children on the scooter?,2310,no
134,900002310,Are the children on the scooter?,900002310,yes
135,9164,Are there enough chairs for these people?,91640,yes
136,900091640,Are there enough chairs for these people?,900091640,no
137,13424,Is the girl in the gray shirt pushing the see saw across the grass?,134240,no
138,900134240,Is the girl in the gray shirt pushing the see saw across the grass?,900134240,yes
139,19301,Is the girl falling?,193010,yes
140,900193010,Is the girl falling?,900193010,no
141,16183,Is the skateboarding standing up?,161832,yes
142,900161832,Is the skateboarding standing up?,900161832,no
143,13162,Is the cat walking towards the mouse?,131621,yes
144,900131621,Is the cat walking towards the mouse?,900131621,no
145,19622,Is there a picture on the wall?,196222,yes
146,900196222,Is there a picture on the wall?,900196222,no
147,8470,Is this family about to eat a healthy meal?,84701,yes
148,900084701,Is this family about to eat a healthy meal?,900084701,no
149,4081,Is the boy amused by the baby?,40811,yes
150,900040811,Is the boy amused by the baby?,900040811,no
151,944,Is the table between the windows?,9442,yes
152,900009442,Is the table between the windows?,900009442,no
153,2581,Is the door open?,25812,no
154,10607,Is the bike locked to the tree?,106070,no
155,3427,Is there a tv in the room?,34270,no
156,900034270,Is there a tv in the room?,900034270,yes
157,613,Should he be standing on the table?,6130,no
158,900006130,Should he be standing on the table?,900006130,yes
159,17737,Is the woman happy?,177371,yes
160,900177371,Is the woman happy?,900177371,no
161,1140,Are they both having tea?,11401,yes
162,900011401,Are they both having tea?,900011401,no
163,15106,Is the woman pouring soda pop?,151060,no
164,900151060,Is the woman pouring soda pop?,900151060,yes
165,6327,Is he eating?,63271,no
166,900063271,Is he eating?,900063271,yes
167,1240,Is it sunny?,12402,yes
168,900012402,Is it sunny?,900012402,no
169,19824,Are there enough plates for the ribs?,198242,no
170,900198242,Are there enough plates for the ribs?,900198242,yes
171,7246,Are the deer sleeping?,72460,no
172,900072460,Are the deer sleeping?,900072460,yes
173,5823,Is there a painting on the wall?,58232,yes
174,900058232,Is there a painting on the wall?,900058232,no
175,3284,Is the boy playing in the sandbox?,32842,no
176,900032842,Is the boy playing in the sandbox?,900032842,yes
177,16200,Is the lady going to sit?,162001,yes
178,900162001,Is the lady going to sit?,900162001,no
179,7543,Are there 2 rugs that look the same?,75432,yes
180,900075432,Are there 2 rugs that look the same?,900075432,no
181,4286,Is the park unusually bare?,42860,yes
182,900042860,Is the park unusually bare?,900042860,no
183,19844,Will the butterflies land in the pond?,198441,no
184,900198441,Will the butterflies land in the pond?,900198441,yes
185,5393,Is the girl on the slide?,53930,no
186,900053930,Is the girl on the slide?,900053930,yes
187,2238,Does the plant look like it needs to be watered?,22382,no
188,2810,Is this a detention class?,28100,no
189,900028100,Is this a detention class?,900028100,yes
190,10804,Is the doll house meant for the baby to live in?,108042,no
191,2388,Did the girl drop her doll?,23881,yes
192,900023881,Did the girl drop her doll?,900023881,no
193,10853,Did he trip?,108531,yes
194,900108531,Did he trip?,900108531,no
195,7665,Does he like his pet?,76650,yes
196,900076650,Does he like his pet?,900076650,no
197,4398,Is the couple around the fire breaking up?,43982,yes
198,900043982,Is the couple around the fire breaking up?,900043982,no
199,17606,Is the boy happy?,176062,yes
200,900176062,Is the boy happy?,900176062,no
201,16961,Is it sunny day?,169611,no
202,900169611,Is it sunny day?,900169611,yes
203,8168,Is the cat playing with yarn?,81681,no
204,900081681,Is the cat playing with yarn?,900081681,yes
205,13855,Is the girl near the scooter dancing?,138552,yes
206,900138552,Is the girl near the scooter dancing?,900138552,no
207,19659,Is the cat happy to see the person?,196592,yes
208,900196592,Is the cat happy to see the person?,900196592,no
209,1570,Is the decor boring?,15701,yes
210,1240,Are they at home?,12400,no
211,13942,Does the woman holding a watermelon look nervous?,139421,yes
212,900139421,Does the woman holding a watermelon look nervous?,900139421,no
213,10079,Are they watching the TV?,100790,no
214,900100790,Are they watching the TV?,900100790,yes
215,18239,Are the leaves green?,182391,no
216,900182391,Are the leaves green?,900182391,yes
217,18519,Is the man going to fall?,185190,no
218,900185190,Is the man going to fall?,900185190,yes
219,18970,Are the windows the same size?,189701,yes
220,900189701,Are the windows the same size?,900189701,no
221,6664,Is the woman jogging?,66641,no
222,900066641,Is the woman jogging?,900066641,yes
223,15572,Does the dog want the hot dog?,155722,yes
224,900155722,Does the dog want the hot dog?,900155722,no
225,15363,Do squirrels swim in ponds?,153631,no
226,900153631,Do squirrels swim in ponds?,900153631,yes
227,2974,Is the old man her grandfather?,29741,yes
228,7924,Is the monitor in the room a flat screen monitor?,79240,yes
229,3740,Did the man yell at the animal?,37401,no
230,6809,Is the picture of the girl hung to low?,68091,yes
231,900068091,Is the picture of the girl hung to low?,900068091,no
232,1346,Is anyone fishing in the pond?,13461,no
233,900013461,Is anyone fishing in the pond?,900013461,yes
234,9736,Is this man stealing the pie?,97361,no
235,900097361,Is this man stealing the pie?,900097361,yes
236,6512,Is he watching tv?,65121,no
237,900065121,Is he watching tv?,900065121,yes
238,17929,Are the windows identical?,179292,no
239,900179292,Are the windows identical?,900179292,yes
240,6782,Is the weather nice outside?,67821,yes
241,11665,Does this prove a picnic for one can be fun?,116650,yes
242,900116650,Does this prove a picnic for one can be fun?,900116650,no
243,12538,Is the child on the monkey bars a girl?,125382,no
244,900125382,Is the child on the monkey bars a girl?,900125382,yes
245,13734,Is the sun shining?,137342,yes
246,900137342,Is the sun shining?,900137342,no
247,6801,Is the baby going to fall off the sofa?,68012,yes
248,900068012,Is the baby going to fall off the sofa?,900068012,no
249,13883,Is the girl lost in the woods?,138830,yes
250,900138830,Is the girl lost in the woods?,900138830,no
251,12219,Are they friends?,122191,yes
252,900122191,Are they friends?,900122191,no
253,223,Does the boy like puppies?,2230,yes
254,900002230,Does the boy like puppies?,900002230,no
255,9660,Is the window covered with curtains?,96601,yes
256,100,Does it seem likely the dog is hoping for a reward?,1000,yes
257,900001000,Does it seem likely the dog is hoping for a reward?,900001000,no
258,18396,Is there a shadow on the painting?,183962,yes
259,1947,Is the girl about to be attacked by the bird?,19472,no
260,900019472,Is the girl about to be attacked by the bird?,900019472,yes
261,5514,Is the door open?,55141,no
262,10263,Is the man angry at the dog?,102632,yes
263,900102632,Is the man angry at the dog?,900102632,no
264,7622,Will his feet swing forward?,76221,yes
265,900076221,Will his feet swing forward?,900076221,no
266,12510,Is there a coat on the rack?,125101,no
267,681,Are they holding hands?,6810,yes
268,900006810,Are they holding hands?,900006810,no
269,15523,Is the girl reading to the sleeping dog?,155231,no
270,900155231,Is the girl reading to the sleeping dog?,900155231,yes
271,15592,Is the TV on?,155922,no
272,900155922,Is the TV on?,900155922,yes
273,13901,Is the woman worried about the boy?,139012,yes
274,900139012,Is the woman worried about the boy?,900139012,no
275,4345,Is the wooden desk fully on the rug?,43452,no
276,900043452,Is the wooden desk fully on the rug?,900043452,yes
277,17467,Is the cat keeping the old man from reading his book?,174671,yes
278,900174671,Is the cat keeping the old man from reading his book?,900174671,no
279,4994,Can the cat see the windows?,49942,yes
280,900049942,Can the cat see the windows?,900049942,no
281,13140,Is anything swimming?,131402,no
282,900131402,Is anything swimming?,900131402,yes
283,11109,Did the animal in the tree lay those eggs?,111092,no
284,900111092,Did the animal in the tree lay those eggs?,900111092,yes
285,1893,Is a cloud behind the tree?,18932,yes
286,900018932,Is a cloud behind the tree?,900018932,no
287,11630,Is the father of the family here?,116301,no
288,900116301,Is the father of the family here?,900116301,yes
289,8233,Does she need a glass?,82330,yes
290,900082330,Does she need a glass?,900082330,no
291,15521,Is the man sad?,155210,no
292,900155210,Is the man sad?,900155210,yes
293,19248,Is a turtle in the pond?,192481,yes
294,900192481,Is a turtle in the pond?,900192481,no
295,14063,Does the man look arthritis?,140632,yes
296,900140632,Does the man look arthritis?,900140632,no
297,2013,Is the baby boy trying to sneak out of the front door?,20132,no
298,900020132,Is the baby boy trying to sneak out of the front door?,900020132,yes
299,19072,Is it daytime?,190722,yes
300,900190722,Is it daytime?,900190722,no
301,2903,Is the young woman on the couch playing with toys?,29030,no
302,900029030,Is the young woman on the couch playing with toys?,900029030,yes
303,17137,Is there a mess on the floor?,171371,yes
304,900171371,Is there a mess on the floor?,900171371,no
305,5065,Is the girl laughing at the cat?,50651,yes
306,900050651,Is the girl laughing at the cat?,900050651,no
307,1363,Is the girl laughing at the boy?,13632,yes
308,900013632,Is the girl laughing at the boy?,900013632,no
309,15589,Is the person in the red shirt prepared to catch the football?,155890,no
310,900155890,Is the person in the red shirt prepared to catch the football?,900155890,yes
311,13716,Did the man eat lunch?,137161,no
312,900137161,Did the man eat lunch?,900137161,yes
313,3086,Do these people look happy?,30861,no
314,900030861,Do these people look happy?,900030861,yes
315,1002,Is the sun up?,10021,no
316,900010021,Is the sun up?,900010021,yes
317,14796,Is it safe for the old lady to pet a sleeping wild deer?,147962,no
318,900147962,Is it safe for the old lady to pet a sleeping wild deer?,900147962,yes
319,10084,Did the two people finish off the bottle of wine?,100842,yes
320,900100842,Did the two people finish off the bottle of wine?,900100842,no
321,9921,Is the brown bear behind the pink cat?,99211,no
322,900099211,Is the brown bear behind the pink cat?,900099211,yes
323,15002,Is the child happy?,150022,yes
324,900150022,Is the child happy?,900150022,no
325,8932,Is the dog mean?,89322,no
326,900089322,Is the dog mean?,900089322,yes
327,5848,Does she have a green thumb?,58480,yes
328,3239,Is each woman holding a glass?,32392,yes
329,900032392,Is each woman holding a glass?,900032392,no
330,6437,Do the girls like the puppies?,64372,yes
331,900064372,Do the girls like the puppies?,900064372,no
332,12667,Is the bird red?,126670,no
333,15263,Is the door open?,152631,no
334,18628,Did the woman fall asleep?,186282,no
335,16350,Is the man eating alone?,163502,yes
336,900163502,Is the man eating alone?,900163502,no
337,9468,Can the dog hold the glass like the woman?,94682,no
338,19691,Is the duck at the edge of the pond about to leave the pond?,196910,no
339,900196910,Is the duck at the edge of the pond about to leave the pond?,900196910,yes
340,9976,Is the cat sleeping on the floor?,99762,yes
341,900099762,Is the cat sleeping on the floor?,900099762,no
342,10451,Does the puppy want someone to play with?,104510,yes
343,900104510,Does the puppy want someone to play with?,900104510,no
344,17109,Is the animal asleep?,171091,yes
345,900171091,Is the animal asleep?,900171091,no
346,6874,Is there any insects flying around?,68742,no
347,900068742,Is there any insects flying around?,900068742,yes
348,15719,Does the kitten want to play?,157191,yes
349,900157191,Does the kitten want to play?,900157191,no
350,6905,Is the girl happy to see ducks?,69052,yes
351,900069052,Is the girl happy to see ducks?,900069052,no
352,9002,Is the baby happy about the ball?,90021,yes
353,900090021,Is the baby happy about the ball?,900090021,no
354,10740,Is the baby happy?,107401,yes
355,900107401,Is the baby happy?,900107401,no
356,19448,Is the baby awake?,194482,no
357,900194482,Is the baby awake?,900194482,yes
358,19832,Is there a bicycle in the park?,198320,yes
359,900198320,Is there a bicycle in the park?,900198320,no
360,13961,Is a wine glass on the sofa?,139611,no
361,900139611,Is a wine glass on the sofa?,900139611,yes
362,12879,Are there any trees?,128790,no
363,900128790,Are there any trees?,900128790,yes
364,19974,Is he too small to drive the moped?,199742,yes
365,900199742,Is he too small to drive the moped?,900199742,no
366,11980,Is there a bird in the sky?,119801,yes
367,900119801,Is there a bird in the sky?,900119801,no
368,251,Is it sunny?,2512,yes
369,900002512,Is it sunny?,900002512,no
370,11808,Is the fire lit?,118080,yes
371,900118080,Is the fire lit?,900118080,no
372,11302,Is this child supervised?,113022,no
373,900113022,Is this child supervised?,900113022,yes
374,6205,Is the elderly man in a comfortable position?,62050,yes
375,900062050,Is the elderly man in a comfortable position?,900062050,no
376,11574,Is the rug blue?,115740,no
377,9559,Is the boy on the couch upset?,95591,no
378,900095591,Is the boy on the couch upset?,900095591,yes
379,4709,Is the girl sitting on the floor?,47090,yes
380,900047090,Is the girl sitting on the floor?,900047090,no
381,5198,Is the old man reminiscing?,51980,yes
382,15807,Is there an old man sitting?,158071,no
383,7506,Are they both wearing red?,75062,yes
384,900075062,Are they both wearing red?,900075062,no
385,9794,Are there any leaves on the trees?,97941,no
386,900097941,Are there any leaves on the trees?,900097941,yes
387,7226,Is the old lady wanting to hug the rug?,72260,no
388,900072260,Is the old lady wanting to hug the rug?,900072260,yes
389,8070,Is the woman waiting for somebody?,80702,yes
390,900080702,Is the woman waiting for somebody?,900080702,no
391,6668,Is the woman trying to lose weight?,66681,no
392,1851,Are the scooters facing opposite directions?,18511,yes
393,900018511,Are the scooters facing opposite directions?,900018511,no
394,14461,Is the yarn ball the same color as the couch?,144612,yes
395,900144612,Is the yarn ball the same color as the couch?,900144612,no
396,5553,Does her left leg appear to be broken?,55532,yes
397,900055532,Does her left leg appear to be broken?,900055532,no
398,7505,Yes the room is empty?,75051,yes
399,900075051,Yes the room is empty?,900075051,no
400,6070,Is the boy mad?,60701,no
401,900060701,Is the boy mad?,900060701,yes
402,15481,Is the child laughing?,154810,yes
403,900154810,Is the child laughing?,900154810,no
404,10739,Is the man's coat on the coat rack?,107391,no
405,2049,Should she be wearing a helmet?,20492,yes
406,11549,Do the curtains have flowers painted on them?,115492,yes
407,900115492,Do the curtains have flowers painted on them?,900115492,no
408,725,Has the older man been drinking?,7250,yes
409,900007250,Has the older man been drinking?,900007250,no
410,2617,Did the girl make supper for her mother?,26172,yes
411,900026172,Did the girl make supper for her mother?,900026172,no
412,3729,Are these two boys friends?,37291,yes
413,900037291,Are these two boys friends?,900037291,no
414,12513,Is the dog awake?,125132,no
415,900125132,Is the dog awake?,900125132,yes
416,12748,Are the watermelons sliced?,127480,no
417,900127480,Are the watermelons sliced?,900127480,yes
418,4236,Is that bird a sparrow?,42361,no
419,900042361,Is that bird a sparrow?,900042361,yes
420,8977,What is the boy in the white shirt running to the old man?,89771,yes
421,900089771,What is the boy in the white shirt running to the old man?,900089771,no
422,10885,Is the lady taking a nap?,108850,no
423,900108850,Is the lady taking a nap?,900108850,yes
424,4779,Is the young man chasing a deer?,47790,yes
425,900047790,Is the young man chasing a deer?,900047790,no
426,9011,Is it daylight?,90112,yes
427,900090112,Is it daylight?,900090112,no
428,5404,Is the bird flying toward the cloud?,54041,yes
429,900054041,Is the bird flying toward the cloud?,900054041,no
430,8579,Is the girl trying to stop the plate from falling on the floor?,85790,no
431,900085790,Is the girl trying to stop the plate from falling on the floor?,900085790,yes
432,16250,Is the cat a stray?,162502,no
433,900162502,Is the cat a stray?,900162502,yes
434,21,Does the man have someone to go on the seesaw with him?,212,no
435,900000212,Does the man have someone to go on the seesaw with him?,900000212,yes
436,17259,Is the young man roasting marshmallows?,172590,yes
437,900172590,Is the young man roasting marshmallows?,900172590,no
438,15967,Do the women have their legs crossed?,159672,no
439,900159672,Do the women have their legs crossed?,900159672,yes
440,1890,Are there any shadows in this cartoon?,18900,yes
441,13551,Are these kids playing catch?,135512,yes
442,900135512,Are these kids playing catch?,900135512,no
443,11994,Will the dog pick up the bone?,119941,yes
444,900119941,Will the dog pick up the bone?,900119941,no
445,414,Is there a sofa in the living room?,4142,yes
446,900004142,Is there a sofa in the living room?,900004142,no
447,8474,Have these logs been sawed?,84742,yes
448,15159,Is the plant on the mantle?,151591,no
449,900151591,Is the plant on the mantle?,900151591,yes
450,110,Is there a woman in this picture?,1102,no
451,900001102,Is there a woman in this picture?,900001102,yes
452,13576,Do the windows match?,135762,no
453,900135762,Do the windows match?,900135762,yes
454,14426,Is the cat on a footstool?,144261,no
455,900144261,Is the cat on a footstool?,900144261,yes
456,15893,Can the man figure out what to wear outside by looking out the window?,158931,yes
457,16614,Is the baby on the blanket bald?,166142,yes
458,18689,Are there any plants in the room?,186892,no
459,900186892,Are there any plants in the room?,900186892,yes
460,12404,Is he the father of both children?,124042,yes
461,900124042,Is he the father of both children?,900124042,no
462,18403,Is the man alone?,184030,yes
463,900184030,Is the man alone?,900184030,no
464,389,Did the two sidewalks meet?,3892,yes
465,900003892,Did the two sidewalks meet?,900003892,no
466,12090,Is there a square area rug in this scene?,120902,yes
467,900120902,Is there a square area rug in this scene?,900120902,no
468,2146,Is the boy under the window playing with the boy behind the chair?,21461,yes
469,900021461,Is the boy under the window playing with the boy behind the chair?,900021461,no
470,10505,Are these people happy?,105052,yes
471,900105052,Are these people happy?,900105052,no
472,1756,Are there any tall trees at the playground?,17562,no
473,900017562,Are there any tall trees at the playground?,900017562,yes
474,10305,Is there a painting?,103051,yes
475,900103051,Is there a painting?,900103051,no
476,2538,Will the woman land on the dog?,25382,no
477,900025382,Will the woman land on the dog?,900025382,yes
478,12027,Is the woman preparing the table for a meal?,120271,no
479,900120271,Is the woman preparing the table for a meal?,900120271,yes
480,12500,Is the mushroom poisonous?,125001,yes
481,18120,Is there a log?,181202,yes
482,900181202,Is there a log?,900181202,no
483,13409,Are there any jackets in the room?,134092,no
484,11553,Are they happy?,115531,yes
485,4879,Is this a date?,48791,yes
486,900048791,Is this a date?,900048791,no
487,9888,Is the top of the tree cut off?,98881,yes
488,900098881,Is the top of the tree cut off?,900098881,no
489,232,Is the woman playing on the monkey bars?,2321,no
490,900002321,Is the woman playing on the monkey bars?,900002321,yes
491,13555,Does the girl's shirt match the boy's?,135551,no
492,900135551,Does the girl's shirt match the boy's?,900135551,yes
493,25,Is there a pond here?,251,yes
494,900000251,Is there a pond here?,900000251,no
495,12620,Are the plants hanging on the wall?,126202,yes
496,900126202,Are the plants hanging on the wall?,900126202,no
497,5575,Are the park benches made of only wood?,55750,no
498,8787,Are there more than two windows in the room?,87871,yes
499,900087871,Are there more than two windows in the room?,900087871,no
500,7322,Can they reach the floor?,73222,no
501,900073222,Can they reach the floor?,900073222,yes
502,3310,Is the guy in red playing hide and seek?,33100,yes
503,900033100,Is the guy in red playing hide and seek?,900033100,no
504,10440,Is the boy  jealous of the ladies apples?,104401,no
505,900104401,Is the boy  jealous of the ladies apples?,900104401,yes
506,8223,Are the windows open?,82232,no
507,7657,Is the woman motioning to the kid to go away?,76572,no
508,900076572,Is the woman motioning to the kid to go away?,900076572,yes
509,19525,Is the dog friends with the mouse?,195251,yes
510,900195251,Is the dog friends with the mouse?,900195251,no
511,8358,Are the couple's feet touching the floor?,83582,no
512,900083582,Are the couple's feet touching the floor?,900083582,yes
513,15684,Is she packing for more than one person?,156841,yes
514,11491,Is the boy laughing at the dog?,114911,yes
515,900114911,Is the boy laughing at the dog?,900114911,no
516,7439,Are the people dancing by the pond?,74392,yes
517,900074392,Are the people dancing by the pond?,900074392,no
518,16785,Is there any birds?,167852,yes
519,900167852,Is there any birds?,900167852,no
520,16265,Is the bike leaned against the tree?,162651,no
521,900162651,Is the bike leaned against the tree?,900162651,yes
522,5478,Is the cat playing with the other cat?,54780,no
523,900054780,Is the cat playing with the other cat?,900054780,yes
524,13816,Does the dog have a collar?,138162,no
525,19631,Does the man look comfortable?,196310,yes
526,900196310,Does the man look comfortable?,900196310,no
527,5750,Does the child have any toys to play with?,57501,no
528,900057501,Does the child have any toys to play with?,900057501,yes
529,12497,Is the woman in blue on the left side?,124971,no
530,900124971,Is the woman in blue on the left side?,900124971,yes
531,17357,Are there any animals in this picture?,173570,no
532,900173570,Are there any animals in this picture?,900173570,yes
533,17500,Is the little boy sitting on a brown chair?,175001,yes
534,900175001,Is the little boy sitting on a brown chair?,900175001,no
535,358,Is she playing with a dog?,3580,yes
536,900003580,Is she playing with a dog?,900003580,no
537,17550,Is the girl in the front?,175501,no
538,900175501,Is the girl in the front?,900175501,yes
539,18551,Is the young man trying to touch the TV?,185510,no
540,900185510,Is the young man trying to touch the TV?,900185510,yes
541,16241,Is there a shadow on the bench?,162412,yes
542,3695,Is the woman and child having fun?,36951,yes
543,900036951,Is the woman and child having fun?,900036951,no
544,2945,Are there any fish in the pond?,29451,no
545,900029451,Are there any fish in the pond?,900029451,yes
546,17219,Does there seem to be electricity to the television?,172192,no
547,900172192,Does there seem to be electricity to the television?,900172192,yes
548,3462,Do both chairs match?,34620,no
549,900034620,Do both chairs match?,900034620,yes
550,10445,Is she lying on the sofa?,104451,no
551,900104451,Is she lying on the sofa?,900104451,yes
552,14849,Are the children's feet touching the ground?,148492,no
553,900148492,Are the children's feet touching the ground?,900148492,yes
554,630,Is the small dog wanting to jump rope?,6302,no
555,900006302,Is the small dog wanting to jump rope?,900006302,yes
556,5601,Are they pretending to be in the army?,56012,yes
557,900056012,Are they pretending to be in the army?,900056012,no
558,11256,Is the bone bigger than the dog?,112561,no
559,900112561,Is the bone bigger than the dog?,900112561,yes
560,2056,Are there any living trees?,20560,no
561,900020560,Are there any living trees?,900020560,yes
562,12666,Are they drinking the same kind of wine?,126661,no
563,900126661,Are they drinking the same kind of wine?,900126661,yes
564,9578,Is the fire lit?,95781,yes
565,900095781,Is the fire lit?,900095781,no
566,3634,Is the boy on the teeter totter?,36340,no
567,900036340,Is the boy on the teeter totter?,900036340,yes
568,14141,Are the kids playing in the sun?,141411,yes
569,900141411,Are the kids playing in the sun?,900141411,no
570,9738,Is the woman trying to keep the dog from going up on the chair?,97382,yes
571,900097382,Is the woman trying to keep the dog from going up on the chair?,900097382,no
572,10165,Are there any bees outside the hive?,101652,no
573,900101652,Are there any bees outside the hive?,900101652,yes
574,5991,Is the woman dancing?,59910,yes
575,900059910,Is the woman dancing?,900059910,no
576,8578,Is the little boy holding a red skateboard?,85781,yes
577,900085781,Is the little boy holding a red skateboard?,900085781,no
578,13801,Is the rug fringed?,138011,yes
579,900138011,Is the rug fringed?,900138011,no
580,19814,Is the cat interested in the man's food?,198141,no
581,900198141,Is the cat interested in the man's food?,900198141,yes
582,7686,Is the sun shining?,76862,yes
583,900076862,Is the sun shining?,900076862,no
